JobID	Elapsed	
47386983_200	6:18:28	1
47386983_1	6:12:21	1
47386983_2	7:57:16	1
47386983_3	2:30:04	1
47386983_4	4:24:43	1
47386983_5	7:54:42	1
47386983_6	2:21:56	1
47386983_7	8:30:08	1
47386983_8	4:19:48	1
47386983_9	6:23:55	1
47386983_10	5:23:51	1
47386983_11	6:01:46	1
47386983_12	2:30:44	1
47386983_13	2:26:07	1
47386983_14	3:37:09	1
47386983_15	4:25:07	1
47386983_16	4:24:52	1
47386983_17	5:56:16	1
47386983_18	4:16:00	1
47386983_19	4:24:48	1
47386983_20	1:52:44	1
47386983_21	2:46:32	1
47386983_22	1:51:33	1
47386983_23	4:11:05	1
47386983_24	5:21:16	1
47386983_25	3:34:20	1
47386983_26	5:22:20	1
47386983_27	1:52:48	1
47386983_28	4:21:36	1
47386983_29	4:22:42	1
47386983_30	6:04:30	1
47386983_31	2:45:15	1
47386983_32	2:01:21	1
47386983_33	4:23:02	1
47386983_34	6:03:14	1
47386983_35	3:32:52	1
47386983_36	7:29:03	1
47386983_37	4:08:40	1
47386983_38	3:45:22	1
47386983_39	2:23:53	1
47386983_40	6:08:28	1
47386983_41	7:52:14	1
47386983_42	5:39:21	1
47386983_43	6:55:07	1
47386983_44	4:25:09	1
47386983_45	6:50:23	1
47386983_46	7:05:03	1
47386983_47	6:24:50	1
47386983_48	6:15:55	1
47386983_49	2:26:12	1
47386983_50	3:46:45	1
47386983_51	7:01:54	1
47386983_52	6:49:09	1
47386983_53	4:34:22	1
47386983_54	7:25:03	1
47386983_55	4:47:50	1
47386983_56	5:35:00	1
47386983_57	3:44:52	1
47386983_58	6:39:10	1
47386983_59	8:59:08	1
47386983_60	6:39:24	1
47386983_61	6:20:27	1
47386983_62	5:05:34	1
47386983_63	3:31:43	1
47386983_64	2:32:27	1
47386983_65	5:52:46	1
47386983_66	4:22:01	1
47386983_67	4:38:41	1
47386983_68	2:23:24	1
47386983_69	8:44:23	1
47386983_70	2:26:06	1
47386983_71	1:43:18	1
47386983_72	3:26:17	1
47386983_73	4:19:24	1
47386983_74	5:44:53	1
47386983_75	1:53:51	1
