JobID	Elapsed
47385399_200	0:59:57
47385399_1	0:57:12
47385399_2	0:58:11
47385399_3	0:56:12
47385399_4	0:57:58
47385399_5	0:56:58
47385399_6	0:55:40
47385399_7	0:56:44
47385399_8	0:57:14
47385399_9	0:56:26
47385399_10	0:57:48
47385399_11	0:57:58
47385399_12	0:58:36
47385399_13	0:56:44
47385399_14	0:56:58
47385399_15	0:57:44
47385399_16	0:56:47
47385399_17	0:57:12
47385399_18	0:59:06
47385399_19	0:58:00
47385399_20	0:57:25
47385399_21	0:57:20
47385399_22	0:57:18
47385399_23	0:58:01
47385399_24	0:57:34
47385399_25	0:57:56
47385399_26	0:55:56
47385399_27	0:57:47
47385399_28	0:59:13
47385399_29	0:56:59
47385399_30	0:58:51
47385399_31	0:59:34
47385399_32	0:57:52
47385399_33	0:57:56
47385399_34	0:57:44
47385399_35	0:59:35
47385399_36	0:57:37
47385399_37	0:59:59
47385399_38	0:58:56
47385399_39	0:59:57
47385399_40	0:56:51
47385399_41	0:58:47
47385399_42	0:57:16
47385399_43	0:57:15
47385399_44	1:00:38
47385399_45	0:57:36
47385399_46	0:57:13
47385399_47	0:59:20
47385399_48	1:00:17
47385399_49	0:58:15
47385399_50	0:57:04
47385399_51	1:00:08
47385399_52	0:58:25
47385399_53	0:59:14
47385399_54	0:58:04
47385399_55	0:58:43
47385399_56	0:57:45
47385399_57	0:59:58
47385399_58	1:00:22
47385399_59	1:00:02
47385399_60	0:59:58
47385399_61	0:57:09
47385399_62	1:00:09
47385399_63	0:56:22
47385399_64	0:57:41
47385399_65	0:56:49
47385399_66	0:55:51
47385399_67	0:57:24
47385399_68	0:56:39
47385399_69	0:57:03
47385399_70	0:55:39
47385399_71	0:58:03
47385399_72	1:00:14
47385399_73	1:01:37
47385399_74	0:58:22
47385399_75	0:57:55
47385399_76	1:00:55
47385399_77	0:58:18
47385399_78	1:00:44
47385399_79	0:58:25
47385399_80	0:58:29
47385399_81	1:00:04
47385399_82	1:00:03
47385399_83	0:59:19
47385399_84	0:57:25
47385399_85	0:56:30
47385399_86	0:56:37
47385399_87	0:57:03
47385399_88	0:57:20
47385399_89	1:01:07
47385399_90	0:59:08
47385399_91	0:58:59
47385399_92	0:58:58
47385399_93	0:59:13
47385399_94	0:59:38
47385399_95	0:59:08
47385399_96	0:59:32
47385399_97	0:56:50
47385399_98	0:59:26
47385399_99	0:59:04
47385399_100	0:58:48
47385399_101	0:58:51
47385399_102	0:57:01
47385399_103	0:55:57
47385399_104	0:56:46
47385399_105	0:56:53
47385399_106	0:56:24
47385399_107	0:57:09
47385399_108	0:56:17
47385399_109	0:56:26
47385399_110	0:59:21
47385399_111	1:01:10
47385399_112	1:02:19
47385399_113	1:00:21
47385399_114	1:00:18
47385399_115	1:00:06
47385399_116	1:00:13
47385399_117	1:01:32
47385399_118	0:59:47
47385399_119	1:01:32
47385399_120	1:01:33
47385399_121	0:57:59
47385399_122	0:59:54
47385399_123	1:00:00
47385399_124	0:58:05
47385399_125	0:55:07
47385399_126	1:00:03
47385399_127	0:56:16
47385399_128	0:59:11
47385399_129	0:59:06
47385399_130	0:58:11
47385399_131	0:57:23
47385399_132	0:57:27
47385399_133	0:55:38
47385399_134	0:58:15
47385399_135	0:56:50
47385399_136	0:57:58
47385399_137	0:57:33
47385399_138	0:58:45
47385399_139	0:57:18
47385399_140	0:56:15
47385399_141	0:57:44
47385399_142	0:59:23
47385399_143	0:59:07
47385399_144	0:57:18
47385399_145	0:59:14
47385399_146	1:00:46
47385399_147	0:57:04
47385399_148	0:58:40
47385399_149	0:57:45
47385399_150	0:59:25
47385399_151	1:00:20
47385399_152	0:56:33
47385399_153	0:58:18
47385399_154	0:57:24
47385399_155	0:58:36
47385399_156	0:56:52
47385399_157	0:56:17
47385399_158	0:56:22
47385399_159	0:59:12
47385399_160	0:56:11
47385399_161	0:56:21
47385399_162	1:00:13
47385399_163	0:58:33
47385399_164	0:57:40
47385399_165	0:57:43
47385399_166	0:57:29
47385399_167	0:59:29
47385399_168	0:56:44
47385399_169	0:59:30
47385399_170	0:58:09
47385399_171	0:58:25
47385399_172	0:56:27
47385399_173	0:58:11
47385399_174	0:56:01
47385399_175	0:57:31
47385399_176	0:58:31
47385399_177	0:58:33
47385399_178	0:56:59
47385399_179	1:00:53
47385399_180	0:58:35
47385399_181	0:59:26
47385399_182	1:00:34
47385399_183	0:59:02
47385399_184	1:01:24
47385399_185	0:58:58
47385399_186	0:56:24
47385399_187	0:59:28
47385399_188	0:56:53
47385399_189	0:56:40
47385399_190	0:56:51
47385399_191	0:59:53
47385399_192	0:59:00
47385399_193	0:57:57
47385399_194	1:00:21
47385399_195	0:55:26
47385399_196	1:01:02
47385399_197	1:01:50
47385399_198	1:02:36
47385399_199	1:00:50
	
MEAN	0:58:21
STD	0:01:33
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
