"","idx","name","selected","f[(1)](id, age)","f[(2)](age)","f[(3)](diseaseAge)","f[(4)](sex, age)","f[(5)](group)","noise","max(Rhat)","n","N","N_cases","flag"
"1",1,"P35237","f[(1)](id, age), f[(2)](age), f[(5)](group)",0.151,0.051,0.003,0.041,0.05,0.703,1.002,161,18,9,0
"2",2,"Q7LBX6","f[(1)](id, age), f[(2)](age)",0.338,0.068,0.003,0.006,0.001,0.584,1.002,189,21,11,0
"3",3,"Q9H4M9","f[(2)](age), f[(1)](id, age)",0.066,0.077,0.003,0.02,0.003,0.832,1.002,162,18,8,0
"4",4,"O75503","f[(1)](id, age), f[(2)](age)",0.319,0.099,0.007,0.006,0.015,0.554,1.006,108,12,6,0
"5",5,"O00748","f[(1)](id, age), f[(5)](group)",0.456,0.011,0.006,0.025,0.035,0.466,1.001,189,21,11,0
"6",6,"P25787","f[(1)](id, age)",0.736,0.006,0.002,0.005,0.001,0.25,1.001,180,20,10,0
"7",7,"P01834","f[(1)](id, age), f[(4)](sex, age)",0.446,0,0.002,0.055,0.001,0.495,1.001,189,21,11,0
"8",8,"P01714","f[(1)](id, age), f[(5)](group), f[(4)](sex, age)",0.254,0.026,0.014,0.034,0.131,0.54,1.001,108,12,5,0
"9",9,"P0CG05","f[(1)](id, age), f[(4)](sex, age)",0.406,0.015,0.006,0.034,0.001,0.539,1.001,189,21,11,0
"10",10,"P01617","f[(1)](id, age)",0.282,0.001,0.002,0.025,0.001,0.689,1.002,144,16,10,0
"11",11,"A0A075B738","f[(1)](id, age)",0.72,0.018,0.02,0.001,0.001,0.24,1.001,189,21,11,0
"12",12,"P08575","f[(2)](age), f[(1)](id, age)",0.262,0.357,0.004,0.002,0,0.374,1.001,189,21,11,0
"13",13,"P80303","f[(1)](id, age), f[(4)](sex, age)",0.345,0.005,0.003,0.082,0.024,0.541,1.001,99,11,7,0
"14",14,"P08123","f[(2)](age), f[(1)](id, age)",0.17,0.601,0.002,0.02,0.008,0.199,1.001,189,21,11,0
"15",15,"P08887","f[(1)](id, age)",0.779,0.025,0.001,0.003,0.006,0.186,1.001,189,21,11,0
"16",16,"Q12913","f[(2)](age), f[(1)](id, age)",0.179,0.355,0.001,0.016,0.002,0.448,1.002,189,21,11,0
"17",17,"A0A087WTM7","f[(1)](id, age), f[(2)](age)",0.647,0.043,0.003,0.014,0.001,0.292,1,189,21,11,0
"18",18,"Q7Z5N4","f[(1)](id, age), f[(2)](age), f[(5)](group)",0.481,0.082,0.007,0.025,0.038,0.367,1.002,189,21,11,0
"19",19,"P11940","f[(1)](id, age), f[(3)](diseaseAge)",0.337,0.016,0.067,0.001,0.015,0.564,1.001,99,11,9,0
"20",20,"Q96C36","f[(1)](id, age), f[(4)](sex, age), f[(5)](group)",0.055,0.02,0.005,0.039,0.027,0.853,1.001,99,11,5,0
"21",21,"P41271","f[(1)](id, age), f[(2)](age)",0.481,0.155,0.003,0.008,0,0.352,1.001,153,17,11,0
"22",22,"A0A087WU91","f[(1)](id, age), f[(2)](age)",0.182,0.164,0.007,0.029,0.004,0.614,1.002,99,11,7,0
"23",23,"O15467","f[(1)](id, age), f[(2)](age)",0.542,0.059,0.002,0.014,0.001,0.382,1.002,99,11,7,0
