"","idx","name","selected","f[(1)](id, age)","f[(2)](age)","f[(3)](diseaseAge)","f[(4)](sex, age)","f[(5)](group)","noise","max(Rhat)","n","N","N_cases","flag","N_b05","N_b02","NA"
"1",1,"P35237","f[(1)](id, age), f[(2)](age), f[(5)](group), f[(4)](sex, age)",0.142,0.056,0.02,0.039,0.051,0.692,1.006,161,18,9,0,3,9,0
"2",2,"Q7LBX6","f[(1)](id, age), f[(2)](age)",0.336,0.07,0.007,0.006,0.001,0.579,1.003,189,21,11,0,6,10,0
"3",3,"Q9H4M9","f[(2)](age), f[(1)](id, age)",0.063,0.078,0.006,0.019,0.003,0.83,1.004,162,18,8,0,2,8,0
"4",4,"O75503","f[(1)](id, age), f[(2)](age)",0.308,0.1,0.02,0.007,0.016,0.549,1.004,108,12,6,0,2,5,0
"5",5,"O00748","f[(1)](id, age), f[(5)](group)",0.461,0.011,0.005,0.025,0.03,0.468,1.002,189,21,11,0,4,11,0
"6",6,"P25787","f[(1)](id, age)",0.736,0.006,0.002,0.005,0.001,0.251,1.003,180,20,10,0,2,10,0
"7",7,"P01834","f[(1)](id, age), f[(4)](sex, age)",0.445,0,0.004,0.056,0.001,0.494,1.002,189,21,11,0,3,11,0
"8",8,"P01714","f[(1)](id, age), f[(5)](group), f[(3)](diseaseAge), f[(4)](sex, age)",0.225,0.028,0.054,0.029,0.131,0.533,1.003,108,12,5,0,1,2,0
"9",9,"P0CG05","f[(1)](id, age), f[(4)](sex, age)",0.407,0.015,0.007,0.032,0,0.538,1.003,189,21,11,0,4,11,0
"10",10,"P01617","f[(1)](id, age)",0.28,0.001,0.004,0.026,0.001,0.689,1.002,144,16,10,0,3,10,0
"11",11,"A0A075B738","f[(1)](id, age)",0.714,0.021,0.024,0.001,0.001,0.239,1.002,189,21,11,0,5,8,0
"12",12,"P08575","f[(2)](age), f[(1)](id, age)",0.263,0.355,0.006,0.002,0,0.374,1.002,189,21,11,0,6,11,0
"13",13,"P80303","f[(1)](id, age), f[(4)](sex, age)",0.34,0.005,0.006,0.083,0.025,0.541,1.003,99,11,7,0,1,7,0
"14",14,"P08123","f[(2)](age), f[(1)](id, age)",0.166,0.603,0.005,0.02,0.008,0.198,1.002,189,21,11,0,3,10,0
"15",15,"P08887","f[(1)](id, age)",0.777,0.026,0.003,0.003,0.006,0.185,1.003,189,21,11,0,3,11,0
"16",16,"Q12913","f[(2)](age), f[(1)](id, age)",0.177,0.356,0.002,0.016,0.002,0.447,1.002,189,21,11,0,0,11,0
"17",17,"A0A087WTM7","f[(1)](id, age), f[(2)](age)",0.644,0.044,0.006,0.014,0.001,0.292,1.002,189,21,11,0,4,11,0
"18",18,"Q7Z5N4","f[(1)](id, age), f[(2)](age), f[(5)](group)",0.479,0.083,0.012,0.025,0.037,0.365,1.003,189,21,11,0,6,9,0
"19",19,"P11940","f[(1)](id, age), f[(3)](diseaseAge)",0.337,0.021,0.061,0.002,0.007,0.571,1.002,99,11,9,0,5,8,0
"20",20,"Q96C36","f[(1)](id, age), f[(4)](sex, age), f[(5)](group)",0.055,0.019,0.004,0.039,0.03,0.854,1.002,99,11,5,0,1,5,0
"21",21,"P41271","f[(1)](id, age), f[(2)](age)",0.48,0.155,0.003,0.008,0.001,0.353,1.002,153,17,11,0,3,11,0
"22",22,"A0A087WU91","f[(1)](id, age), f[(2)](age), f[(4)](sex, age)",0.168,0.165,0.016,0.03,0.005,0.616,1.004,99,11,7,0,2,7,0
"23",23,"O15467","f[(1)](id, age), f[(2)](age)",0.539,0.06,0.006,0.014,0.001,0.381,1.002,99,11,7,0,1,7,0
"24",24,"Q3LXA3","f[(1)](id, age), f[(5)](group)",0.157,0.024,0.005,0.004,0.03,0.779,1.002,189,21,11,0,3,11,0
"25",25,"P49720","f[(1)](id, age), f[(3)](diseaseAge), f[(4)](sex, age), f[(5)](group)",0.601,0.013,0.062,0.048,0.047,0.229,1.005,162,18,9,0,1,1,0
"26",26,"P07203","f[(2)](age), f[(1)](id, age)",0.126,0.253,0.01,0.005,0.004,0.603,1.003,189,21,11,0,5,11,0
"27",27,"O95196","f[(2)](age), f[(1)](id, age)",0.131,0.591,0.003,0.001,0.005,0.269,1.003,99,11,4,0,0,4,0
"28",28,"Q8IYS5","f[(1)](id, age), f[(5)](group)",0.456,0.009,0.001,0.003,0.107,0.424,1.003,178,20,10,0,0,10,0
"29",29,"Q5T123","f[(2)](age), f[(1)](id, age)",0.054,0.094,0.014,0.017,0.002,0.819,1.003,189,21,11,0,3,9,0
"30",30,"P01857","f[(1)](id, age), f[(4)](sex, age)",0.374,0.002,0.011,0.036,0.006,0.571,1.001,189,21,11,0,5,10,0
"31",31,"P15941","f[(1)](id, age), f[(5)](group), f[(3)](diseaseAge)",0.63,0.019,0.05,0.018,0.052,0.232,1.003,126,14,10,0,4,6,0
"32",32,"Q14517","f[(1)](id, age), f[(2)](age)",0.656,0.101,0.019,0.007,0.002,0.215,1.005,189,21,11,0,4,8,0
"33",33,"Q00610","f[(2)](age), f[(1)](id, age)",0.051,0.166,0.036,0.009,0.004,0.734,1.003,171,19,11,0,5,7,0
"34",34,"Q13477","f[(1)](id, age), f[(2)](age)",0.38,0.356,0.002,0.001,0.005,0.256,1.002,189,21,11,0,4,11,0
"35",35,"Q9P2T1","f[(1)](id, age), f[(2)](age), f[(4)](sex, age)",0.103,0.077,0.004,0.034,0.025,0.757,1.002,117,13,5,0,0,5,0
"36",36,"P23470","f[(1)](id, age), f[(5)](group)",0.822,0.013,0.003,0.007,0.031,0.123,1.003,189,21,11,0,3,11,0
"37",37,"Q15833","f[(2)](age), f[(1)](id, age)",0.027,0.028,0.002,0.008,0.02,0.915,1.002,171,19,10,0,0,10,0
"38",38,"Q9Y274","f[(1)](id, age)",0.781,0.01,0.013,0.008,0.004,0.184,1.002,180,20,11,0,3,9,0
"39",39,"P12830","f[(1)](id, age), f[(2)](age)",0.623,0.032,0.013,0.005,0.003,0.324,1.002,189,21,11,0,4,10,0
"40",40,"P01860","f[(1)](id, age), f[(2)](age)",0.752,0.056,0.006,0.009,0.019,0.157,1.002,189,21,11,0,2,10,0
"41",41,"P50895","f[(1)](id, age)",0.483,0.004,0.003,0.002,0,0.508,1.002,189,21,11,0,3,11,0
"42",42,"Q9UPZ6","f[(1)](id, age), f[(5)](group)",0.698,0.016,0.006,0.004,0.026,0.251,1.004,99,11,6,0,2,6,0
"43",43,"P21802","f[(1)](id, age), f[(2)](age)",0.37,0.109,0.003,0.002,0.023,0.494,1.002,117,13,6,0,1,6,0
"44",44,"P29122","f[(1)](id, age)",0.562,0.005,0.003,0.007,0.002,0.421,1.003,126,14,11,0,1,11,0
"45",45,"Q9BZG9","f[(1)](id, age), f[(2)](age)",0.593,0.045,0.008,0,0.033,0.321,1.002,189,21,11,0,4,11,0
"46",46,"Q6UXD5","f[(2)](age), f[(1)](id, age)",0.128,0.695,0.003,0.015,0.004,0.155,1.004,189,21,11,0,1,11,0
"47",47,"Q16851","f[(1)](id, age), f[(2)](age), f[(3)](diseaseAge)",0.369,0.04,0.033,0.025,0.005,0.527,1.005,189,21,11,0,3,6,0
"48",48,"Q15185","f[(1)](id, age), f[(2)](age)",0.088,0.062,0.011,0.006,0.001,0.831,1.002,135,15,6,0,1,6,0
"49",49,"P05997","f[(1)](id, age), f[(2)](age), f[(4)](sex, age)",0.317,0.259,0.006,0.064,0.006,0.348,1.002,189,21,11,0,4,11,0
"50",50,"Q9BY67","f[(1)](id, age), f[(2)](age)",0.464,0.157,0.006,0.003,0.001,0.368,1.003,189,21,11,0,6,11,0
"51",51,"Q9H3K6","f[(1)](id, age), f[(2)](age)",0.238,0.226,0.004,0.002,0.001,0.529,1.002,189,21,11,0,2,11,0
"52",52,"Q9Y4L1","f[(1)](id, age), f[(2)](age)",0.519,0.043,0.007,0.004,0.013,0.415,1.003,189,21,11,0,4,11,0
"53",53,"Q9H251","f[(1)](id, age), f[(2)](age)",0.561,0.045,0.011,0.001,0.001,0.38,1.004,169,19,11,0,1,10,0
"54",54,"P09668","f[(1)](id, age), f[(2)](age)",0.663,0.035,0.025,0.01,0.012,0.256,1.003,189,21,11,0,6,9,0
"55",55,"P10912","f[(1)](id, age), f[(2)](age), f[(4)](sex, age)",0.474,0.21,0.007,0.09,0.03,0.19,1.003,108,12,5,0,1,5,0
"56",56,"P39059","f[(1)](id, age), f[(2)](age)",0.324,0.19,0.003,0.021,0.003,0.458,1.002,189,21,11,0,1,11,0
"57",57,"A0A087X0M8","f[(1)](id, age), f[(3)](diseaseAge)",0.478,0.01,0.037,0.032,0.001,0.441,1.002,189,21,11,0,6,7,0
"58",58,"Q9UMY4","f[(1)](id, age), f[(4)](sex, age)",0.051,0.005,0.006,0.035,0.01,0.893,1.002,105,12,7,0,0,7,0
"59",59,"P69849","f[(1)](id, age)",0.31,0.019,0.002,0.001,0.004,0.665,1.002,189,21,11,0,1,11,0
"60",60,"Q6ZRP7","f[(1)](id, age), f[(2)](age)",0.681,0.049,0.002,0.003,0.003,0.261,1.002,189,21,11,0,1,11,0
"61",61,"Q9UBW5","f[(2)](age), f[(1)](id, age)",0.092,0.185,0.01,0.004,0.002,0.707,1.003,189,21,11,0,4,10,0
"62",62,"O60613","f[(1)](id, age), f[(2)](age)",0.443,0.098,0.017,0.007,0.006,0.429,1.003,171,19,10,0,4,6,0
"63",63,"P22352","f[(1)](id, age)",0.845,0.006,0.003,0.003,0.002,0.143,1.002,189,21,11,0,3,11,0
"64",64,"Q16663","f[(1)](id, age), f[(2)](age)",0.687,0.054,0.005,0.005,0.002,0.246,1.003,99,11,3,0,0,3,0
"65",65,"O95633","f[(1)](id, age), f[(2)](age)",0.416,0.046,0.003,0.016,0.003,0.516,1.008,162,18,8,0,1,8,0
"66",66,"P09326","f[(1)](id, age)",0.66,0.011,0.017,0.015,0.002,0.295,1.003,171,19,10,0,7,9,0
"67",67,"Q6PID9","f[(1)](id, age), f[(2)](age), f[(4)](sex, age)",0.259,0.224,0.003,0.208,0.008,0.299,1.004,189,21,11,0,0,11,0
"68",68,"Q9UL46","f[(2)](age)",0.032,0.084,0.006,0.001,0.001,0.876,1.008,189,21,11,0,2,11,0
